타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 1:38:27,session_1770302915208_te36vyjba,기획1-1A_화면,화면 이탈,,13.9초,기획1-1A_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:27,session_1770302915208_te36vyjba,기획1-1B,화면 진입,,,기획1-1B 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:30,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:31,session_1770302915208_te36vyjba,기획1-1B,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:36,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,메모입력완료,"{""cutId"":1,""cutLabel"":""1"",""cutTitle"":""인트로(첫 장면)"",""memoLength"":7,""memoText"":""강한. 메시지""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:38,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""prevCutId"":1,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:43,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,cut_select,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""prevCutId"":3,""hasMemo"":false,""memoLength"":0}",cut_select 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:45,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,메모입력완료,"{""cutId"":3,""cutLabel"":""6"",""cutTitle"":""마무리 장면"",""memoLength"":7,""memoText"":""댓글 유도하기""}",메모입력완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:46,session_1770302915208_te36vyjba,기획1-1B_화면,버튼 클릭,저장하기,"{""memoCount"":2,""totalCuts"":3,""totalMemoLength"":14,""avgMemoLength"":""7.0"",""memoDetails"":[{""cutId"":1,""cutLabel"":""1"",""hasMemo"":true,""memoLength"":7},{""cutId"":2,""cutLabel"":""2 - 5"",""hasMemo"":false,""memoLength"":0},{""cutId"":3,""cutLabel"":""6"",""hasMemo"":true,""memoLength"":7}]}",저장하기 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:48,session_1770302915208_te36vyjba,기획1-1B_화면,미션 완료,기획1-1_B미션완료,"완료시간:21.7초,메모수:2,총길이:14",기획1-1_B미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:50,session_1770302915208_te36vyjba,기획1-1B_화면,화면 이탈,,22.5초,기획1-1B_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:38:53,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
